Number,Organization,Contact Information
1350,Nicolas Deffayet,[Nicolas_Deffayet_2]
1351,Computer Pros,[Dan_Buchanan_2]
1352,William Wiley,[William_Wiley]
1353,Praden Florian,[Praden_Florian]
1354,Tom King and Associates,[Tom_King]
1355,Sven Antonissen,[Sven_Antonissen]
1356,REDYX SYSTEMS LIMITED,[Sam_Oredoyin]
1357,Douglas Hubler,[Douglas_Hubler]
1358,Satish M. Barot,[Satish_M._Barot]
1359,Pure Assay Ingredients,[Bao_Luu]
1360,Mapigeste Santarem,[Eduardo_Azevedo]
1361,Multnomah Education Service District,[Dave_Poirier]
1362,Bjarne Nilsson,[Bjarne_Nilsson]
1363,John Ross,[John_Ross]
1364,RxDOC.com,[John_Luther]
1365,Manyam Sanka,[Manyam_Sanka]
1366,Christopher Shirley,[Christopher_Shirley]
1367,Luke Dombrowski,[Luke_Dombrowski]
1368,Bristol Technology Group,[Ben_Goodfellow]
1369,TOOTAi SASU,[Daniel_Huhardeaux]
1370,Next-PBX,[Phil_Moon]
1371,Hospice of the Piedmont,[Philip_Taylor]
1372,Intelligent Technologies,[K_Wahl]
1373,Omnibility,[Daniel_Shue]
1374,unVOXT,[Steve_Broner]
1375,"Maerzke Construction, LLC",[Robert_Maerzke]
1376,LVX System,[John_R_Covert_2]
1377,cloud59.ca,[Robin_L._M._Cheung]
1378,Fundação Cidade de Guimarães,[Pedro_Pereira]
1379,DragonHawk Enterprises,[Gregory_Young]
1380,Ken Kopilevich,[Ken_Kopilevich]
1381,"Double Business 2, Lda",[Pedro_Pereira]
1382,Ulan Sametov,[Ulan_Sametov]
1383,Santa Casa da Misericórdia de Santarém,[Eduardo_Azevedo]
1384,LegacySIP,[Claude_Hayn]
1385,Maine Notary Net,[Kevin_M_Carman]
1386,"The Law Offices of Alexander J. Segal, P.C.",[Alexander_J._Segal]
1387,MizoNET,[Vanlalhruaia_Sailo]
1388,Atwab Networks,[Adam_Vallee]
1389,FE Muhidenov Nurhan,[Mukhidenov_Nurkhan]
1390,Jacques Levasseur,[Jacques_Levasseur]
1391,Bjorn Davidsson,[Bjorn_Davidsson]
1392,Tim Hauber,[Tim_Hauber]
1393,Olivier Matthey,[Olivier_Matthey]
1394,Wacker Services,[Karl_Fife_3]
1395,Redlibre,[Pablo_Umanzor]
1396,"ROQUES VALE DO TEJO-Comércio de Automóveis,SA - Vila Franca Xira",[Eduardo_Azevedo]
1397,Telesanta Santarém,[Eduardo_Azevedo]
1398,Christian Zenner,[Christian_Zenner]
1399,STARFLEET Office of Emergency Preparedness,[James_C_Jones_II]
1400,"Dugas Enterprises, LLC",[Paul_A._Dugas]
1401,Canganyagam Santhakumar,[Canganyagam_Santhakumar]
1402,PT Kejora Gemilang Internusa,[Tony_Sampano]
1403,Cullen Lorsung,[Cullen_Lorsung]
1404,Harvey Good,[Harvey_Good]
1405,Koteswara Rao Kanna,[Koteswara_Rao_Kanna]
1406,VozToVoice,[Andrea_Sannucci]
1407,Rogers West Group Incorporated,[Jason_A._Rogers]
1408,Pennywell Corp,[Jonathan_Penny]
1409,"Arreo Networks, inc.",[MH_Kwon]
1410,Wiretap Solutions,[Cameron_Bradley]
1411,North America Telco Corporation,[Dominique_Andre]
1412,"Keep it safe, lda",[Eduardo_Azevedo]
1413,Wright Communications and Technology,[Greg_Wright]
1414,Scott Smith,[Scott_Smith]
1415,Matthias Rieber,[Matthias_Rieber]
1416,"HBCTECH, LLC",[Charles_E_Jolly_2]
1417,Nieznaj,[Józef_Nieznaj]
1418,Techlab,[Nathan_Kennedy]
1419,Zomp,[Zane_Cahill]
1420,BCSS,[Anil_Kumar]
1421,Casjays Developments,[Casjays_Developments]
1422,ELEMENTECH PM AG,[Nikolajs_Liepins]
1423,Bob Eager,[Bob_Eager]
1424,TuxIT Consulting,[Darryl_Moore]
1425,Kavitha Santhakumar,[Kavitha_Santhakumar]
1426,John Fawcett,[John_Fawcett]
1427,avansystems.com,[Sivakumaran_Shanmuganathan]
1428,Halliburton Systems Inc,[Stephen_Halliburton]
1429,Branavan Santhakumar,[Branavan_Santhakumar]
1430,Technology Induna,[Andre_Steenkamp]
1431,Quaack Services Pty Ltd,[Marc_Sheldon]
1432,Andrew Cassidy,[Andrew_Cassidy]
1433,Craig Simon,[Craig_Simon]
1434,Jeremy Visser,[Jeremy_Visser]
1435,kinfolk.org,[Richard_B_Pyne]
1436,"James Nachbar, MD",[James_Nachbar]
1437,John Wiggins,[John_Wiggins]
1438,A2 InfoTech,[Robert_Dailey]
1439,Merrell Solutions,[Jonathan_Merrell]
1440,multimediametacompany,[William_F_McClelland]
1441,Full Kingdom IT Solutions,[B_Bijvoet]
1442,"BIGGG LTD
                Big G Group",[Osman_El-Baba]
1443,Brian Walberg,[Brian_Walberg]
1444,4net,[Sinisa_Bandin]
1445,Genaro Bautista,[Genaro_Bautista]
1446,Erinn Looney-Triggs,[Erinn_Looney-Triggs]
1447,Break Scutum,[Break_Scutum]
1448,"Samjung Data Service Co., Ltd.",[ChungYong_Oh]
1449,Matthew Blocker,[Matthew_Block]
1450,"Terje Stramrud, Stramrud Consulting",[Terje_Stramrud]
1451,Leon Juan Mendez,[Leon_Juan_Mendez]
1452,Figment Design Laboratories (Pty) Ltd,[Alan_Erasmus]
1453,Cibolo Technology LLC,[Jason_McMillon]
1454,"NetWex, Inc.",[Mack_Coulibaly]
1455,Chris Hills,[Chris_Hills_2]
1456,"Synesis, Inc.",[Ryan_King]
1457,Liam Keane,[Liam_Keane]
1458,IE3 Communications,[Steven_Ikeda]
1459,Businessware Technologies,[Asim_Zaman_Al_Sayyed]
1460,Group Three Information Technology,[Asim_Zaman_Al_Sayyed_2]
1461,CaseloadPRO,[Ryan_King_2]
1462,Gerald Hurt,[Gerald_Hurt]
1463,Steve Schoeneman,[Steve_Schoeneman]
1464,Harry Sheppard,[Harry_Sheppard]
1465,"AmaTech Solutions, LLC",[Andrew_Sabetta]
1466,Universitas Terbuka (Open University of Indonesia),[Harris_Rovandi]
1467,Derek Sherlock,[Derek_Sherlock]
1468,RedAnt IT Support Inc.,[Patrick_Ni]
1469,Eddy Joseph,[Eddy_Joseph]
1470,Keep Talking,[Mark_Adams]
1471,Mike Jesse,[Mike_Jesse]
1472,ROSCOM Ltd,[Harry_Sheppard]
1473,LinuxISP,[Charles_Price]
1474,Instituto Cubano de Radio y Televisión,[Carlos_A._Carnero_Delgado]
1475,digital OutPost,[Terry_Barnum]
1476,metrophone.net,[Jon_P._deOng]
1477,UPTEC - Parque de Ciência e Tecnologia da Universidade do Porto,[Pedro_Pereira]
1478,Dennis Warner,[Dennis_Warner_2]
1479,Jon Bruno,[Jon_Bruno]
1480,Electronic Power Design,[Theodis_Butler]
1481,"Megalith Technologies, Inc.",[Theodis_Butler_2]
1482,James Titcomb,[James_Titcomb]
1483,Shawndell Harris,[Shawndell_Harris]
1484,Clemens Schrimpe,[Clemens_Schrimpe]
1485,The Routerguy,[Wendell_Hamilton]
1486,RightSolve,[Wendell_Hamilton_2]
1487,Daniel Knox,[Daniel_Knox]
1488,RGB Communications,[Richard_Bopp]
1489,Salus I.T. Services,[Michael_A._OBannon]
1490,Adam Vallee,[Adam_Vallee_2]
1491,"Plan-Net Technologies, Ltd.",[James_Shaw]
1492,Roberts Signs & Awnings,[Leif_Madsen]
1493,International Brotherhood of Boilermakers Local 128 Headquarters,[Leif_Madsen]
1494,Anderson Webb,[Leif_Madsen]
1495,Deimos Space SLU,[Fernando_Alvarez]
1496,CYSM Ltd.,[Chris_Roberts]
1497,South Florida Tech Solutions,[Charles_West]
1498,REFSETH Sanntidssystemer,[George_Refseth]
1499,10to8 Ltd.,[Tom_Playford]
1500,Red Elvis,[Andrés_Gasson]
1501,Berkeley Wayland Ltd.,[Toine_Ganzeboom]
1502,Collier Technologies LLC,[C.J._Adams-Collier]
1503,Fernando Fuentes,[Fernando_Fuentes]
1504,Auto-Estradas XXI - Subconcessionária Transmontana S.A.,[Pedro_Pereira]
1505,1stdata.ca,[Arne_Larsen]
1506,"Cerfil - Companhia Industrial de Cerdas Artificiais, S.A.",[Pedro_Pereira]
1507,Mustafa Irmak,[Mustafa_Irmak]
1508,CUNY/CIS,[Arty_Ecock]
1509,Stratolinks Inc.,[Terry_Steeper]
1510,Terry Steeper,[Terry_Steeper_2]
1511,GTSum Corp.,[Edward_Bodfish]
1512,Edward Bodfish,[Edward_Bodfish_2]
1513,RadiOKom Ltd.,[Serg_Romanenko]
1514,Larsen Family,[Arne_Larsen]
1515,Fire Departments of Canada,[Arne_Larsen]
1516,Mark Wakeford,[Mark_Wakeford]
1517,Ben Davis,[Ben_Davis]
1518,Bezaleel,[Kevin_Landers]
1519,Samuel S. Williams,[Samuel_Williams]
1520,Darkon Men's Redemption Center (DMRC),[Steve_Janke]
1521,Homeinsurance.com,[Ryan_Housand]
1522,Patrick Padgett,[Pat_Padgett]
1523,Fak Systems Limited,[Abiodun_Fasasi]
1524,P.O. Box 54948,[Tomas_Delgado_Garcia]
1525,"Prime Health Ltd
                c/o RedAnt IT Support Inc.",[Patrick_Ni]
1526,Artcraft Display Graphics Inc.,[Darren_Kuzik]
1527,Hallam,[J_Hallam]
1528,Aaron C. de Bruyn,[Aaron_C._de_Bruyn]
1529,Michael Scholz,[Michael_Scholz]
1530,Lahbib Haouari,[Lahbib_Haouari]
1531,K.M. Peterson,[K.M._Peterson]
1532,UP247Solution Inc.,[Daniel_Qian]
1533,ICFO-The Institute of Photonic Sciences,[Goncal_Badenes]
1534,Gavin Brett,[Gavin_Brett]
1535,Grayson Peddie,[Grayson_Peddie]
1536,Corey Reichle,[Corey_Reichle]
1537,Otto Jassy,[Otto_Jassy]
1538,Samy Kadiri,[Samy_Kadiri]
1539,"A+ Marketing Solutions, Corp",[Alvaro_Ramirez]
1540,DILING d.o.o.,[Rado_Salamon]
1541,Ivan Jefton,[Ivan_Jefton]
1542,tel.vaboomz.com,[Jean_Ronald_Sigue]
1543,CTI SYSTEMS,[Gerard_Michel]
1544,"Louis A. Calabrese, Jr.",[Louis_A._Calabrese_Jr.]
1545,Net Trust Ltd,[Michael_Hallager]
1546,"MPI Software, Inc.",[Rob_Johnson]
1547,Marty Steiner,[Marty_Steiner]
1548,"Gebbeth, s.r.o.",[Daniel_Cizinsky]
1549,Russell Deacon,[Russell_Deacon]
1550,Juli Cespedes,[Juli_Cespedes]
1551,Davood Pasdar,[Davood_Pasdar]
1552,Thomas Sands,[Thomas_Sands]
1553,Binary IT Solutions Ltd,[Martin_Hay]
1554,Mischa Spiegelmock,[Mischa_Spiegelmock]
1555,J & J Communications,[Joseph_McGuirl]
1556,Christian G. Warden,[Christian_G_Warden]
1557,Universidad Nacional de San Luis,[Fernando_Aversa]
1558,Héctor Macías Serrato,[Héctor_Macías_Serrato]
1559,SHLINK Internet Service,[Lutz_Petersen]
1560,"Superstring Group, LLC",[Hany_Mekhael]
1561,Miguel Angel López,[Miguel_Angel_López]
1562,Frank Hammonds,[Frank_Hammonds]
1563,tncomputercowboy.com,[Wes_Woodle]
1564,M. Beattie,[M_Beattie]
1565,Telvida Limited,[Sam_Oredoyin_2]
1566,Vasco Data Security - Mechelen,[Wouter_D_Haeseleer]
1567,"TRACEBoard New Zealand Ltd.
                SmarTrack Solutions Ltd.",[Qiubo_David_Su]
1568,Cutting Edge Plumbing & Mechanical,[Nathan_Sutherland]
1569,"Silent Circle
                Private Encrypted Communications
                Silicon Valley + Washington DC",[Frank_Carmickle]
1570,Bright Ideas Custom Electronics Inc.,[Travis_Cook]
1571,Open CSTA,[Chris_Mylonas]
1572,Jacques Lemieux,[Jacques_Lemieux]
1573,Camp Quatre-Saisons inc.,[Jacques_Lemieux_2]
1574,Jeremy Bond Shepherd,[Jeremy_Bond_Shepherd]
1575,Jason Godfrey,[Jason_Godfrey]
1576,PFLAG National,[David_Manuel]
1577,Michael Aschwanden,[Michael_Aschwanden]
1578,WAFITEK Inc,[Zuber_Patel_2]
1579,Anthony Azzopardi,[Anthony_Azzopardi]
1580,Brian Higginbotham,[Brian_Higginbotham]
1581,Orange Leap,[Brian_Higginbotham_2]
1582,Microdel,[Mike_Roedel]
1583,Road-Support,[Roel_Adriaans]
1584,DBCOM SA,[Bianco_Yvan]
1585,Xavier Navarro,[Xavier_Navarro]
1586,NOWCOM,[Vimal_Kumar_Nair]
1587,William Rondon,[William_Rondon]
1588,Joseph Towery,[Joseph_Towery]
1589,Mark D. LaPrade,[Mark_LaPrade]
1590,Jan-Piet Mens,[Jan-Piet_Mens]
1591,Donal Lyons,[Donal_Lyons]
1592,"EEZA
                ESTACION EXPERIMENTAL DE ZONAS ARIDAS - CSIC",[Sebastian_Vidal_Pezzi]
1593,Keelings Ltd,[Tony_O_Connor]
1594,Alexey Bogomaz,[Alexey_Bogomaz]
1595,Ed McCreight,[Ed_McCreight]
1596,Tim Porter,[Tim_Porter]
1597,Mett Hel,[Mett_Hel]
1598,James Allen,[James_Allen]
1599,Linux Service,[Martin_Grogan]
1600,Open Source Solutions Limited,[Barry_ODonovan]
1601,Brian Maples,[Brian_Maples]
1602,"Veridical Systems, Inc.",[Steve_Marquess]
1603,Maple Industries,[James_Shaw_2]
1604,Alfostat,[Nassar_Nassar_2]
1605,Simon Burnet,[Simon_Burnet]
1606,Steven Salerno,[Steven_Salerno]
1607,curriegrad2004 networks,[Jeff_Leung]
1608,CMSInter.net LLC,[Dan_Graham]
1609,St. Cuthberts,[John_Messenger]
1610,Joerg Starke,[Joerg_Starke]
1611,Global Glory,[Ruel_Tmeizeh]
1612,RuhNet,[Ruel_Tmeizeh_2]
1613,Kevin Mai,[Kevin_Mai]
1614,Karl Hable,[Karl_Hable]
1615,Blueloop Ltd,[Jon_Gerdes]
1616,Jon Gerdes,[Jon_Gerdes]
1617,Derek Nor,[Derek_Nor]
1618,Matthew Hanley,[Matthew_Hanley]
1619,George Kyriazis,[George_Kyriazis]
1620,OCM Group,[Mj_Ocampo]
1621,Claudio Guimaraes,[Claudio_Guimaraes]
1622,Thorhallur Sverrisson,[Thorhallur_Sverrisson]
1623,SecurActive,[Sebastien_Douche]
1624,Juliano Barbosa,[Juliano_Barbosa]
1625,Nuno Souto,[Nuno_Souto_2]
1626,John Cole,[John_Cole]
1627,Bryan Hoover,[Bryan_Hoover]
1628,31 Networks,[Ron_DeMena]
1629,"ZimWin Communications, LP",[Don_Zimmerman]
1630,Widler Sanon,[Widler_Sanon]
1631,Andy Sylthe,[Andy_Sylthe]
1632,NMWnet,[Berislav_Purgar]
1633,Steven Larson,[Steven_Larson]
1634,"NetCal Consulting, Inc.",[Brendon_Baumgartner]
1635,Basis ehf,[Snorri_Páll_Jónsson]
1636,Netsar srl,[Simone_Boldrini]
1637,"TVM Capital, LLC",[Mark_Williams]
1638,CSI.net,[Mark_Williams_2]
1639,Marco Rocco,[Marco_Rocco]
1640,Eminence,[Chris_Finn]
1641,John Thornton,[John_Thornton]
1642,"Palmcandy, Inc",[Robert_Moss]
1643,Joel Lashbrook,[Joel_Lashbrook]
1644,Manuel Alvarez Maldonado,[Manuel_Alvarez_Maldonado]
1645,Mike Loiterman,[Mike_Loiterman]
1646,"Compliance Vault, LLC",[Julie_Perry]
1647,The Perry Family,[Rob_Perry]
1648,Ron Carithers,[Ron_Carithers]
1649,Aberanta,[Jose_Luis_de_Pablo]
1650,"Supratel IT, S.L.",[Oscar_Bahillo]
1651,Jairo Molina Jr.,[Jairo_Molina_Jr.]
1652,Genesys X Inc.,[Christos_Dimitriou]
1653,P Olson,[Patrick_Olson]
1654,DSNI LLC,[Marc_Siegel]
1654,DSNI LLC,[Marc_Siegel]
1655,Dyrand Systems,[Nicholas_Drayer]
1656,Bryan Anderson,[Bryan_Anderson]
1657,Paul Totten,[Paul_Totten]
1658,Eventphone,[Ben_Fuhrmannek]
1659,pbxvoip.ca,[Arne_Larsen]
1660,Executable IT Corporation,[Norm_McGlone]
1661,home.pbxvoip.ca,[Arne_Larsen]
1662,Guilain Devillers,[Guilain_Devillers]
1663,Dave Burlage,[Dave_Burlage]
1664,Sheridan College,[Matti_Ranta]
1665,Christian Berger,[Christian_Berger]
1666,Mirko Guarriello,[Mirko_Guarriello]
1667,Jerald A DeLong,[Jerald_A_DeLong]
1668,LPI Nigeria,[LPI_Nigeria]
1669,"Tru-Tone Finishing, Inc.",[Jerry_Ard]
1670,Ivan Andreev,[Ivan_Andreev]
1671,Jean Crepeau,[Jean_Crepeau]
1672,Stacy Olivas,[Stacy_Olivas]
1673,Q Motion Automation,[Chris_Younger]
1674,Arthur So,[Arthur_So]
1675,Andrew Poling,[Andrew_Poling]
1676,Didodd Services,[Dobroslav_Dragoshinov]
1677,Netwalk,[Sergio_Ribeiro]
1678,James Randolph,[James_Randolph]
1679,David Raine,[David_Raine]
1680,"After The Pulse, Inc.",[Bill_Bishop]
1681,"McAlester.Net, LLC",[Brian_West_3]
1682,Marc Purdon,[Marc_Purdon]
1683,SmartIPX Ltd,[Gael_Martin]
1684,VOX4ALL,[Douglas_Adami_2]
1685,Diamantino Alves,[Diamantino_Alves]
1686,Viatrix Consulting,[Diamantino_Alves]
1687,Joshua Phillips,[Joshua_Phillips]
1688,PDQ Software,[Jack_Maus]
1689,QLOOG,[Dave_Bouchard]
1690,Kitty Couch Crafters,[Kevin_Carman]
1691,Maine Masons District 6,[Kevin_Carman_2]
1692,DRNU.NET,[Rick_Patch]
1693,"Faculdade de Arquitectura, Universidade do Porto",[Pedro_Pereira]
1694,"Faculdade de Belas Artes, Universidade do Porto",[Pedro_Pereira]
1695,"Faculdade de Ciências, Universidade do Porto",[Pedro_Pereira]
1696,"Faculdade de Desporto, Universidade do Porto",[Pedro_Pereira]
1697,"Faculdade de Direito, Universidade do Porto",[Pedro_Pereira]
1698,"Faculdade de Economia, Universidade do Porto",[Pedro_Pereira]
1699,"Faculdade de Farmácia, Universidade do Porto",[Pedro_Pereira]
1700,"Faculdade de Letras, Universidade do Porto",[Pedro_Pereira]
1701,"Faculdade de Medicina, Universidade do Porto",[Pedro_Pereira]
1702,"Faculdade de Medicina Dentária, Universidade do Porto",[Pedro_Pereira]
1703,"Faculdade de Psicologia e de Ciências da Educação, Universidade do Porto",[Pedro_Pereira]
1704,"Instituto de Ciências Biomédicas Abel Salazar, Universidade do Porto",[Pedro_Pereira]
1705,"Reitoria, Universidade do Porto",[Pedro_Pereira]
1706,"Serviços de Acção Social, Universidade do Porto",[Pedro_Pereira]
1707,Alexander Gehrecke,[Alexander_Gehrecke]
1708,Kieran Murphy,[Kieran_Murphy]
1709,Vex Consulting Incorporated,[DArcy_Cain]
1710,Simon Hales,[Simon_Hales]
1711,Kevin Fraser,[Kevin_Fraser]
1712,Pythagore F.D.,[Helmer_Frederic]
1713,Alan Pippin,[Alan_Pippin]
1714,Hongwei Zhang,[Hongwei_Zhang]
1715,JupiteL Corporation,[Lawrence_Adeseike]
1716,Lawrence Adeseike,[Lawrence_Adeseike]
1717,Ninux.org,[Saverio_Proto]
1718,RapTel,[Charlie_Ross]
1719,STI Processing LTD.,[Haydn_Solomon]
1720,Greg Bailey,[Greg_Bailey]
1721,Skyrun,[Barry_Cox]
1722,Haydn Solomon,[Haydn_Solomon_2]
1723,Blue Ridge Yarns Company,[Charlie_Ross]
1724,"Shanghai Winway Information Technology Co., Ltd.",[Xuesong_Li]
1725,"Generic Network Systems, LLC",[Rob_Trangmar]
1726,Euskal-Net,[Tomas_Echepeteecu]
1727,"Thoroquel Systems, LLC",[Joe_Sniderman]
1728,Line5 e.K.,[Christian_Nahfeller]
1729,Stoo Research,[Tim_Stewart]
1730,Daniel Morley,[Daniel_Morley]
1731,IRIS Systems,[Anthony_Olive]
1732,EBIZ UPNORTH COMMUNICATIONS INTERNATIONAL,[Ronald_Ramos]
1733,PBX in a Flash,[Ward_Mundy_3]
1734,Município do Entroncamento,[Pedro_Pereira]
1735,Christopher Kelley,[Christopher_Kelley]
1736,Dave Jolly,[Dave_Jolly]
1737,OneAsiaHost,[Carl_Jason]
1738,Coconut Phone,[John_McDougald]
1739,Jim Douglas,[Jim_Douglas]
1740,Vitaliy Pindyura,[Vitaliy_Pindyura]
1741,Michael W Jopling,[Michael_W_Jopling]
1742,BRAIN-IT,[Martin_Johansen]
1743,Alain KAMULETA,[Alain_KAMULETA]
1744,Meare Manor,[Graham_Chapman]
1745,Joe Lake,[Joe_Lake]
1746,MSATT Limited,[Michael_Parker]
1747,Aleksey Kurochkin,[Aleksey_Kurochkin]
1748,Peakbit,[Jonathan_Edgeworth]
1749,"Valme Ingenieros,s.l.",[Angel_Melchor]
1750,Angel Melchor,[Angel_Melchor]
1751,Tapio Makinen,[Tapio_Makinen]
1752,Union Audit J.Y.E. Consultores,[Angel_Melchor]
1753,Ubity Inc.,[Sebastien_Couture]
1754,Advokat Mikael Nordlin,[Mikael_Nordlin]
1755,Digital Aggregates Corporation,[John_L._Sloan]
1756,Vertex Data Private Limited,[Ashok_Pancharya]
1757,Lucas Correa,[Lucas_Correa]
1758,Jeremiah Stanley,[Jeremiah_Stanley]
1759,Carmen Silguero,[Carmen_Silguero]
1760,Manuel Rosales Muñoz,[Manuel_Rosales_Muñoz]
1761,Hi-ReS! Berlin GmbH,[Thomas_Bergmann]
1762,Ronald Paul Chin-Quee,[Ronald_Paul_Chin-Quee]
1763,Ian Morrison,[Ian_Morrison]
1764,FCCN,[Paulo_Ferreira]
1765,Metaconex,[Derek_G]
1766,Alexis Gougerot,[Alexis_Gougerot]
1767,David Fear,[David_Fear_2]
1768,Dintex Information System (India) Pvt Ltd,[Mayank_Awasthi]
1769,iPFix,[Edouard_De_Keyser]
1770,MyRepublic Ltd,[Walter_Klomp]
1771,Graham Ingokho,[Graham_Ingokho]
1772,"Porto Business School, Universidade do Porto",[Pedro_Pereira]
1773,Município de Vila do Conde,[Pedro_Pereira]
1774,SAUFLON PORTUGAL,[Pedro_Pereira]
1775,Corey Smith,[Corey_Smith]
1776,Resource Group,[MJ._Ocampo_P]
1777,Alexander Tull,[Alexander_Tull]
1778,Chuck Brown,[Chuck_Brown]
1779,SIGi Solutions - Sistemas e Gestão de Informática Ltda,[Gabriel_R._Hahmann]
1780,Buki Adeniji,[Buki_Adeniji]
1781,Markus Barenhoff,[Markus_Barenhoff]
1782,mclemente.net,[Marc_F._Clemente]
1783,Darryn Smith Consulting,[Darryn_Smith]
1784,Nicholas Polaczek,[Nicholas_Polaczek]
1785,Daniele La Motta,[Daniele_La_Motta]
1786,"Pace Willisson
                Alipes",[Pace_Willisson]
1787,Duncan Webb,[Duncan_Webb]
1788,Ismail Shakeeb,[Ismail_Shakeeb]
1789,Telet Research LLP,[James_Body]
1790,Richard Harris,[Richard_Harris]
1791,"Centro de Astrofísica, Universidade do Porto",[Pedro_Pereira]
1792,MOTC Telecom,[Jimmy_Stewart]
1793,Associated Networks (UK) Ltd,[Andy_Smith]
1794,Mario Hukles,[Mario_Hukles]
1795,eswme.com,[Lextor_Tan]
1796,voip4all.org,[Kai_Siering]
1797,Priority Networks NT,[Ben_Taylor]
1798,Pacific Coast Feather Company,[Jules_Agee]
1799,"Contract Services Group, Inc.",[Eric_Pearce]
1800,"Contract Services Group, Inc.",[Eric_Pearce]
1801,Peter Cerny,[Peter_Cerny]
1802,ProVia Telecom,[Marek_Gubala]
1803,Maxrise UG,[Christian_Nagel]
1804,Nordai Srl,[Giuseppe_Putzolu]
1805,Câmara Municipal de Santa Marta de Penaguião,[Pedro_Pereira]
1806,1air LLC,[Rajib_Mazumder]
1807,TMS IT-Dienst,[Timm_M._Schneider]
1808,Laurence Schenk,[Laurence_Underwood_Schenk]
1809,Moebius Tecnologia Ltda,[Pedro_Alves]
1810,Wormy LLC,[Marcus_Bronson]
1811,Coypu Computing,[Keith_Richards]
1812,Lluis Satorre,[Lluis_Satorre]
1813,ShowIT Media,[Jonas_Christoffersen]
1814,John Dupuis,[John_Dupuis]
1815,John Dupuis,[John_Dupuis_2]
1816,Extrallo,[Michael_Blandford]
1817,"City Commons, LLC",[Edward_Schober]
1818,Robin Kipp,[Robin_Kipp]
1819,XELESS Kft.,[Mihaly_Orosz]
1820,Convergenz,[CH_Quek]
1821,Município de Sabrosa,[Pedro_Pereira]
1822,Xristos Dimitriou,[Xristos_Dimitriou]
1823,"Hellenic Canadian Community of Edmonton & Region, Hellenic Heritage Language School",[Chris_Dimitriou]
1824,South Prairie Network,[Doug_Generous]
1825,sQro Technologies Private Limited,[Kewan_Dugar]
1826,Andrew Broekman,[Andrew_Broekman]
1827,The Shashamane Ethiopia Federal Agents Association,[The_Shashamane_Ethiopia_Federal_Agents_Association]
1828,Peter Wong,[Peter_Wong]
1829,Infrastrutture,[Vincenzo_Venuto]
1830,Kelly Roestel,[Kelly_Roestel]
1831,9line,[Dean_Colling-Baugh]
1832,First Class Tax Relief,[Ken_Trenkelbach_1]
1833,Farias Jett & Co,[Ken_Trenkelbach_2]
1834,"Last Biscuit Technology, LLC",[Ken_Trenkelbach_3]
1835,Amit Gaonkar,[Amit_Gaonkar]
1836,Birchbox,[Jereme_Corrado]
1837,Keegan Moodley,[Keegan_Moodley]
1838,H.R. Gauw,[H.R._Gauw]
1839,Jef Kin,[Jef_Kin]
1840,James Wheatley,[James_Wheatley]
1841,Salah Qbaich,[Salah_Qbaich]
1842,Karl Camilleri,[Karl_Camilleri]
1843,David Andersen,[David_Andersen]
1844,Samka Logistics,[Kanja_Amoh]
1845,Clearly VoIP,[Jody_Peyton]
1846,James Randolph,[James_Randolph]
1847,"Tibanne Co.,Ltd.",[Mark_Karpeles]
1848,Jorge Kleber das Neves Junior,[Jorge_Kleber]
1849,Equations Consulting GmbH,[Heinz_Stege]
1850,Vibrant Support,[Jasmine_Merced]
1851,LodgeTech Communications,[Horacio_P_Ledon]
1852,Elisha Bamborough,[Elisha_Bamborough]
1853,Santa Casa da Misericórdia de Boticas,[Pedro_Pereira]
1854,Agrupamento de Escolas Dr. Bento da Cruz,[Pedro_Pereira]
1855,ITNS,[Greg_Wildman]
1856,Câmara Municipal de Abrantes,[Pedro_Pereira]
1857,Bombeiros Voluntários de Leixões,[Pedro_Pereira]
1858,CanaryTek,[Miguel_Armas]
1859,Stefaan Van Dooren,[Stefaan_Van_Dooren]
1860,Matt Orle,[Matt_Orle]
1861,"CEBAS, CENTRO DE EDAFOLOGIA Y BIOLOGIA APLICADA DEL SEGURA - CSIC, Campus Universitario de Espinardo",[Antonio_Garcia_Ortega]
1862,W.S. Gray,[W.S._Gray]
1863,Paul Norg,[Paul_Norg]
1864,Lucas Christian,[Lucas_Christian]
1865,Marco Summo,[Marco_Summo]
1866,George Zhilyakov,[George_Zhilyakov]
1867,Ramiro Garcia Poggi,[Ramiro_Garcia_Poggi]
1868,Jacob Neil Taylor,[Jacob_Neil_Taylor]
1869,Alpha Computer Group,[Alpha_Computer_Group]
1870,Ephraim A. Gariguez,[Ephraim_A._Gariguez]
1871,Marc Laskowski Limited,[Marc_Laskowski_Limited]
1872,Kamal Jain,[Kamal_Jain]
1873,M. Berghaus,[M._Berghaus]
1874,A&D Software,[Atanas_Andonov]
1875,Bombeiros Voluntários de Sabrosa,[Pedro_Pereira]
1876,Vazquez invents,[Roberto_Vazquez_Gaytan]
1877,Laboratório da Paisagem Guimarães,[Pedro_Pereira]
1878,Northwest Metasystems,[Robin_Kauffman]
1879,"Bart Cuperus, Cuperus Consultants",[Bart_Cuperus]
1880,JSDAAV,[Bennie_Joubert]
1881,Krishna Infrastructure LLP,[rajesh_davuluri]
1882,"Field Diagnostic Services, Inc.",[Timothy_Stockman]
1883,Bombeiros Voluntários de Boticas,[Pedro_Pereira]
1884,Gary Skouson,[Gary_Skouson]
1885,Câmara Municipal de Celorico de Basto,[Pedro_Pereira]
